Question,label
"Determine if vectors (18, 15, 7) and (20, 16, 8) are orthogonal",6
Compute the sum of the infinite geometric series with first term 18 and ratio 2,7
"Solve for x,y: [[3, 8],[12, 8]] [x y]^T = [13, 4]^T",6
"If A = [[4, 11], [12, 1]], find tr(A)",6
Find the value of x if x/10 + 19 = 8,0
Find the number of subsets of size 14 from a set of size 14,5
Evaluate ∫ (19x + 18) dx,2
"Determine if vectors (18, 20, 10) and (12, 4, 11) are orthogonal",6
Evaluate the product 14 × 14 ÷ 4,1
How many surjections from an 17-element set to a 1-element set?,5
Find the length of hypotenuse in a right triangle with legs 16 and 9,4
"What is the circumcircle radius of a triangle with sides 15, 3, 9?",4
Compute the sum of the infinite geometric series with first term 12 and ratio 8,7
Simplify tan(11°) · cos(8°),4
Compute ∂/∂y of 9x^2y + 7xy,2
"What is the circumcircle radius of a triangle with sides 13, 13, 13?",4
What is 20% of 10?,1
Find the nth term of the arithmetic sequence with a1=11 and d=19,7
"If A = [[14, 18], [1, 1]], find tr(A)",6
Compute d/dx (3x^3 + 17x),2
"In a binomial distribution with n=5 and p=8, find P(X=8)",3
Find the general term of the series defined by a_n = 1n^2 + 20,7
Find the remainder when 16 is divided by 4,1
"What is the expected value of a uniform distribution on [1, 7]?",3
"Compute the Stirling number of the second kind S(19, 1)",5
Find the length of hypotenuse in a right triangle with legs 16 and 7,4
What is 17% of 6?,1
Compute ∂/∂y of 19x^2y + 8xy,2
Find the sin(6°) using exact values,4
What is 12% of 3?,1
"Solve for x,y: [[6, 10],[15, 1]] [x y]^T = [14, 15]^T",6
"Compute the Stirling number of the second kind S(7, 20)",5
"Compute the Stirling number of the second kind S(18, 3)",5
Find the number of subsets of size 9 from a set of size 15,5
Find the sin(8°) using exact values,4
Express 11x^2 - 1214 + 3 in factored form,0
"If two events A and B are independent with P(A)=9 and P(B)=8, find P(A∪B)",3
"If two events A and B are independent with P(A)=5 and P(B)=3, find P(A∪B)",3
"Determine if vectors (4, 12, 16) and (12, 15, 15) are orthogonal",6
"What is the expected value of a uniform distribution on [12, 16]?",3
"What is the circumcircle radius of a triangle with sides 9, 16, 11?",4
Evaluate the product 7 × 18 ÷ 4,1
What is the probability of drawing 17 cards without replacement from a deck of 14?,3
How many surjections from an 16-element set to a 8-element set?,5
How many surjections from an 2-element set to a 4-element set?,5
"If two events A and B are independent with P(A)=8 and P(B)=12, find P(A∪B)",3
Find the general term of the series defined by a_n = 3n^2 + 15,7
Express 5x^2 - 1818 + 1 in factored form,0
How many surjections from an 3-element set to a 8-element set?,5
Solve for x: 1^2 - 4x + 17 = 0,0
Express 7x^2 - 199 + 9 in factored form,0
Convert 8/11 to a decimal,1
Find the sin(10°) using exact values,4
"What is the circumcircle radius of a triangle with sides 9, 14, 20?",4
"Compute the Stirling number of the second kind S(2, 19)",5
Compute the number of permutations of 6 distinct objects taken 19 at a time,5
Compute the area of a trapezoid with bases 14 and 20 and height 12,4
Find the general term of the series defined by a_n = 17n^2 + 12,7
How many binary relations exist on a set of size 11?,5
Compute the area of a trapezoid with bases 2 and 16 and height 8,4
Compute d/dx (8x^9 + 7x),2
Compute the number of permutations of 12 distinct objects taken 20 at a time,5
Express 4x^2 - 1514 + 8 in factored form,0
Compute the sum of the infinite geometric series with first term 17 and ratio 13,7
Solve the inequality 18x + 16 > 8,0
Express 2x^2 - 1520 + 18 in factored form,0
Evaluate the product 5 × 11 ÷ 5,1
Find the nth term of the arithmetic sequence with a1=6 and d=8,7
"Compute the Stirling number of the second kind S(9, 5)",5
Simplify tan(8°) · cos(4°),4
Compute the area of a trapezoid with bases 3 and 19 and height 7,4
Find the number of subsets of size 20 from a set of size 17,5
What is 11% of 11?,1
"If two events A and B are independent with P(A)=7 and P(B)=20, find P(A∪B)",3
Compute ∂/∂y of 12x^2y + 12xy,2
Find d^2/dx^2 of x^11,2
"If two events A and B are independent with P(A)=14 and P(B)=17, find P(A∪B)",3
Solve the inequality 18x + 10 > 9,0
Solve the inequality 4x + 12 > 13,0
Convert 13/19 to a decimal,1
"Compute the Stirling number of the second kind S(7, 3)",5
"In a binomial distribution with n=9 and p=16, find P(X=7)",3
Express 14x^2 - 48 + 19 in factored form,0
Find the general term of the series defined by a_n = 18n^2 + 13,7
What is 5% of 5?,1
"What is the expected value of a uniform distribution on [5, 1]?",3
Express 9x^2 - 620 + 5 in factored form,0
Find the sin(3°) using exact values,4
Find the remainder when 4 is divided by 1,1
What is 10% of 3?,1
What is 7% of 20?,1
Evaluate the product 16 × 2 ÷ 7,1
Compute the sum of the infinite geometric series with first term 1 and ratio 9,7
Find the value of x if x/18 + 11 = 14,0
"What is the expected value of a uniform distribution on [15, 17]?",3
Evaluate ∫ (15x + 17) dx,2
Find the general term of the series defined by a_n = 9n^2 + 20,7
What is the probability of drawing 1 cards without replacement from a deck of 10?,3
Compute 1^(1/7).,1
Find the length of hypotenuse in a right triangle with legs 10 and 19,4
How many surjections from an 5-element set to a 3-element set?,5
Find the length of hypotenuse in a right triangle with legs 10 and 8,4
Find the remainder when 12 is divided by 17,1
"Solve for x,y: [[14, 8],[8, 16]] [x y]^T = [8, 6]^T",6
"What is the circumcircle radius of a triangle with sides 1, 9, 16?",4
Evaluate ∫ (6x + 18) dx,2
Compute ∂/∂y of 13x^2y + 10xy,2
Simplify the expression (20x^2 - 12x + 18),0
"If A = [[3, 1], [12, 14]], find tr(A)",6
Simplify tan(2°) · cos(3°),4
Evaluate the product 5 × 5 ÷ 12,1
How many binary relations exist on a set of size 6?,5
Compute d/dx (14x^15 + 4x),2
Find the remainder when 6 is divided by 19,1
"Compute the Stirling number of the second kind S(13, 18)",5
"What is the circumcircle radius of a triangle with sides 20, 11, 1?",4
Find the remainder when 17 is divided by 5,1
Evaluate ∫ (10x + 11) dx,2
Evaluate ∫ (12x + 16) dx,2
Compute d/dx (15x^15 + 7x),2
"In a binomial distribution with n=3 and p=3, find P(X=4)",3
"Find eigenvalues of the 2x2 matrix [[11, 13], [4, 6]]",6
Find the general term of the series defined by a_n = 1n^2 + 2,7
Simplify the expression (19x^2 - 1x + 9),0
What is the probability of drawing 9 cards without replacement from a deck of 12?,3
Compute the number of permutations of 7 distinct objects taken 20 at a time,5
Evaluate the product 8 × 4 ÷ 10,1
How many surjections from an 4-element set to a 1-element set?,5
Find the number of subsets of size 20 from a set of size 18,5
What is the probability of drawing 9 cards without replacement from a deck of 8?,3
Compute d/dx (3x^16 + 4x),2
Simplify the expression (14x^2 - 6x + 2),0
Simplify the expression (20x^2 - 13x + 7),0
"What is the expected value of a uniform distribution on [16, 8]?",3
Compute the area of a trapezoid with bases 19 and 17 and height 5,4
Find d^2/dx^2 of x^19,2
Find d^2/dx^2 of x^7,2
Find the length of hypotenuse in a right triangle with legs 3 and 10,4
Find the number of subsets of size 9 from a set of size 6,5
"If A = [[2, 11], [17, 12]], find tr(A)",6
Simplify the expression (1x^2 - 20x + 8),0
"Solve for x,y: [[14, 13],[4, 6]] [x y]^T = [19, 14]^T",6
"Find eigenvalues of the 2x2 matrix [[16, 13], [14, 7]]",6
"If two events A and B are independent with P(A)=13 and P(B)=15, find P(A∪B)",3
"If two events A and B are independent with P(A)=1 and P(B)=6, find P(A∪B)",3
"Solve for x,y: [[1, 8],[15, 5]] [x y]^T = [20, 18]^T",6
"If A = [[14, 14], [1, 1]], find tr(A)",6
Solve for x: 9^2 - 6x + 20 = 0,0
"If A = [[12, 19], [4, 18]], find tr(A)",6
Evaluate the product 5 × 6 ÷ 2,1
Compute the area of a trapezoid with bases 16 and 20 and height 11,4
"What is the expected value of a uniform distribution on [6, 16]?",3
Compute the sum of the infinite geometric series with first term 5 and ratio 9,7
Find the value of x if x/1 + 13 = 7,0
Compute 18^(1/20).,1
Find the remainder when 19 is divided by 9,1
"Find eigenvalues of the 2x2 matrix [[15, 16], [11, 16]]",6
How many surjections from an 16-element set to a 16-element set?,5
Compute the area of a trapezoid with bases 1 and 16 and height 18,4
"Compute the Stirling number of the second kind S(13, 7)",5
Compute ∂/∂y of 8x^2y + 1xy,2
Compute the sum of the infinite geometric series with first term 14 and ratio 8,7
Compute the sum of the infinite geometric series with first term 7 and ratio 5,7
"If A = [[17, 4], [20, 12]], find tr(A)",6
Find the remainder when 5 is divided by 13,1
Find the remainder when 8 is divided by 6,1
Compute the area of a trapezoid with bases 20 and 6 and height 3,4
Compute d/dx (3x^11 + 10x),2
Find the general term of the series defined by a_n = 7n^2 + 15,7
"What is the expected value of a uniform distribution on [20, 2]?",3
What is the probability of drawing 8 cards without replacement from a deck of 1?,3
How many surjections from an 4-element set to a 14-element set?,5
"Determine if vectors (8, 7, 11) and (14, 6, 8) are orthogonal",6
How many surjections from an 18-element set to a 15-element set?,5
"What is the circumcircle radius of a triangle with sides 1, 11, 2?",4
"In a binomial distribution with n=3 and p=11, find P(X=2)",3
Compute ∂/∂y of 8x^2y + 8xy,2
Solve for x: 16^2 - 12x + 6 = 0,0
Simplify tan(18°) · cos(3°),4
Convert 11/20 to a decimal,1
Find the value of x if x/17 + 4 = 16,0
Find the value of x if x/4 + 9 = 1,0
"If two events A and B are independent with P(A)=18 and P(B)=7, find P(A∪B)",3
Convert 15/1 to a decimal,1
Simplify the expression (20x^2 - 6x + 12),0
Compute ∂/∂y of 10x^2y + 12xy,2
Compute the number of permutations of 8 distinct objects taken 16 at a time,5
"Compute the inverse of [[19, 3, 12],[2, 10, 16],[9, 3, 2]] if it exists",6
"Determine if vectors (20, 2, 4) and (19, 20, 7) are orthogonal",6
"Solve for x,y: [[10, 1],[16, 12]] [x y]^T = [17, 18]^T",6
"What is the circumcircle radius of a triangle with sides 19, 13, 6?",4
"Find eigenvalues of the 2x2 matrix [[14, 13], [14, 15]]",6
"What is the expected value of a uniform distribution on [15, 14]?",3
Find the value of x if x/5 + 11 = 12,0
"Solve for x,y: [[6, 5],[20, 17]] [x y]^T = [17, 13]^T",6
Find the length of hypotenuse in a right triangle with legs 16 and 13,4
Convert 10/16 to a decimal,1
Find the nth term of the arithmetic sequence with a1=2 and d=14,7
Compute 2^(1/4).,1
"Solve for x,y: [[18, 7],[13, 16]] [x y]^T = [14, 17]^T",6
"In a binomial distribution with n=10 and p=15, find P(X=9)",3
How many surjections from an 14-element set to a 13-element set?,5
How many surjections from an 7-element set to a 4-element set?,5
Express 20x^2 - 519 + 15 in factored form,0
"Compute the Stirling number of the second kind S(12, 4)",5
Express 12x^2 - 51 + 18 in factored form,0
Compute ∂/∂y of 19x^2y + 11xy,2
Compute the number of permutations of 12 distinct objects taken 16 at a time,5
Compute the area of a trapezoid with bases 4 and 5 and height 8,4
Compute the sum of the infinite geometric series with first term 10 and ratio 20,7
Compute the area of a trapezoid with bases 15 and 10 and height 16,4
Simplify tan(19°) · cos(20°),4
How many surjections from an 17-element set to a 5-element set?,5
Find the nth term of the arithmetic sequence with a1=4 and d=18,7
Solve for x: 17^2 - 20x + 12 = 0,0
Evaluate ∫ (8x + 9) dx,2
Compute the sum of the infinite geometric series with first term 13 and ratio 15,7
Compute the area of a trapezoid with bases 10 and 8 and height 7,4
Find the general term of the series defined by a_n = 7n^2 + 8,7
"In a binomial distribution with n=3 and p=10, find P(X=12)",3
Simplify the expression (7x^2 - 11x + 4),0
"What is the circumcircle radius of a triangle with sides 20, 11, 12?",4
What is 8% of 12?,1
Convert 17/14 to a decimal,1
How many binary relations exist on a set of size 15?,5
How many binary relations exist on a set of size 4?,5
"Compute the inverse of [[2, 20, 15],[7, 4, 15],[6, 4, 6]] if it exists",6
Solve the inequality 12x + 14 > 7,0
Convert 19/9 to a decimal,1
"If two events A and B are independent with P(A)=13 and P(B)=10, find P(A∪B)",3
"Compute the inverse of [[10, 3, 19],[17, 18, 7],[16, 12, 16]] if it exists",6
Find the number of subsets of size 2 from a set of size 10,5
"If A = [[17, 15], [8, 13]], find tr(A)",6
"What is the circumcircle radius of a triangle with sides 12, 7, 8?",4
Solve for x: 8^2 - 20x + 12 = 0,0
How many surjections from an 19-element set to a 17-element set?,5
Compute the area of a trapezoid with bases 6 and 6 and height 9,4
Find d^2/dx^2 of x^15,2
What is the probability of drawing 6 cards without replacement from a deck of 5?,3
Solve the inequality 7x + 1 > 11,0
"Find eigenvalues of the 2x2 matrix [[8, 15], [2, 3]]",6
"Determine if vectors (10, 15, 17) and (4, 14, 5) are orthogonal",6
Find the general term of the series defined by a_n = 2n^2 + 18,7
Compute ∂/∂y of 3x^2y + 12xy,2
Compute the area of a trapezoid with bases 7 and 17 and height 4,4
Compute d/dx (2x^15 + 15x),2
"What is the circumcircle radius of a triangle with sides 2, 9, 5?",4
Compute ∂/∂y of 1x^2y + 15xy,2
Solve the inequality 19x + 12 > 5,0
Find the general term of the series defined by a_n = 4n^2 + 3,7
"If A = [[6, 10], [4, 17]], find tr(A)",6
Solve for x: 3^2 - 15x + 19 = 0,0
Compute d/dx (6x^8 + 4x),2
"If two events A and B are independent with P(A)=19 and P(B)=13, find P(A∪B)",3
Solve for x: 1^2 - 3x + 8 = 0,0
Find the length of hypotenuse in a right triangle with legs 8 and 14,4
"If two events A and B are independent with P(A)=1 and P(B)=15, find P(A∪B)",3
Find the remainder when 7 is divided by 18,1
"Solve for x,y: [[6, 17],[11, 10]] [x y]^T = [4, 12]^T",6
Find the nth term of the arithmetic sequence with a1=16 and d=18,7
Find the sin(5°) using exact values,4
Find the remainder when 2 is divided by 15,1
What is 16% of 6?,1
"If two events A and B are independent with P(A)=11 and P(B)=14, find P(A∪B)",3
Solve for x: 13^2 - 10x + 14 = 0,0
Simplify tan(5°) · cos(15°),4
Convert 5/17 to a decimal,1
Evaluate the product 4 × 13 ÷ 17,1
Simplify the expression (20x^2 - 17x + 6),0
Find the value of x if x/5 + 2 = 14,0
Compute the number of permutations of 16 distinct objects taken 3 at a time,5
What is 9% of 16?,1
Compute d/dx (15x^11 + 15x),2
"Solve for x,y: [[19, 1],[8, 15]] [x y]^T = [7, 18]^T",6
"Solve for x,y: [[5, 13],[4, 17]] [x y]^T = [19, 9]^T",6
Convert 8/4 to a decimal,1
Compute the number of permutations of 19 distinct objects taken 11 at a time,5
Find the value of x if x/14 + 11 = 14,0
"Find eigenvalues of the 2x2 matrix [[17, 2], [1, 11]]",6
Find the remainder when 14 is divided by 8,1
Find the sin(15°) using exact values,4
"Determine if vectors (12, 2, 13) and (2, 15, 4) are orthogonal",6
Find d^2/dx^2 of x^14,2
Evaluate ∫ (19x + 20) dx,2
Find the remainder when 12 is divided by 11,1
"In a binomial distribution with n=15 and p=14, find P(X=12)",3
"If A = [[2, 16], [11, 7]], find tr(A)",6
"What is the expected value of a uniform distribution on [12, 1]?",3
Find the number of subsets of size 3 from a set of size 13,5
Find the number of subsets of size 8 from a set of size 16,5
How many surjections from an 14-element set to a 3-element set?,5
Find the number of subsets of size 10 from a set of size 9,5
"Determine if vectors (3, 3, 14) and (4, 12, 7) are orthogonal",6
Compute d/dx (9x^20 + 1x),2
"Solve for x,y: [[1, 9],[13, 8]] [x y]^T = [16, 15]^T",6
Find the sin(19°) using exact values,4
"Find eigenvalues of the 2x2 matrix [[3, 7], [2, 4]]",6
Compute the area of a trapezoid with bases 20 and 11 and height 16,4
Find the length of hypotenuse in a right triangle with legs 20 and 11,4
Solve the inequality 5x + 3 > 7,0
Evaluate the product 17 × 13 ÷ 5,1
"Compute the Stirling number of the second kind S(12, 17)",5
Find the length of hypotenuse in a right triangle with legs 13 and 12,4
Compute the number of permutations of 10 distinct objects taken 3 at a time,5
How many binary relations exist on a set of size 10?,5
Evaluate the product 8 × 15 ÷ 7,1
"Determine if vectors (15, 18, 6) and (9, 16, 15) are orthogonal",6
Solve the inequality 5x + 9 > 8,0
What is the probability of drawing 18 cards without replacement from a deck of 10?,3
Find the general term of the series defined by a_n = 13n^2 + 10,7
"In a binomial distribution with n=19 and p=20, find P(X=5)",3
Solve the inequality 11x + 15 > 6,0
"Determine if vectors (19, 10, 15) and (4, 13, 14) are orthogonal",6
"What is the circumcircle radius of a triangle with sides 7, 3, 11?",4
Find the nth term of the arithmetic sequence with a1=8 and d=6,7
"Find eigenvalues of the 2x2 matrix [[5, 10], [8, 18]]",6
Find d^2/dx^2 of x^13,2
Compute the number of permutations of 19 distinct objects taken 2 at a time,5
Find d^2/dx^2 of x^1,2
Compute the area of a trapezoid with bases 18 and 14 and height 20,4
Compute ∂/∂y of 3x^2y + 18xy,2
How many surjections from an 20-element set to a 14-element set?,5
Evaluate the product 4 × 14 ÷ 19,1
"Determine if vectors (15, 6, 12) and (18, 11, 3) are orthogonal",6
Solve for x: 10^2 - 17x + 13 = 0,0
Find the value of x if x/14 + 13 = 18,0
Solve the inequality 4x + 3 > 11,0
What is the probability of drawing 11 cards without replacement from a deck of 13?,3
"What is the expected value of a uniform distribution on [9, 3]?",3
Evaluate the product 17 × 2 ÷ 13,1
Evaluate the product 18 × 15 ÷ 3,1
Simplify the expression (1x^2 - 20x + 12),0
Convert 15/14 to a decimal,1
Compute 10^(1/7).,1
Compute the area of a trapezoid with bases 19 and 8 and height 1,4
Express 13x^2 - 113 + 16 in factored form,0
Simplify tan(14°) · cos(16°),4
"If two events A and B are independent with P(A)=3 and P(B)=1, find P(A∪B)",3
Find the length of hypotenuse in a right triangle with legs 6 and 8,4
"What is the expected value of a uniform distribution on [20, 17]?",3
Compute the number of permutations of 9 distinct objects taken 9 at a time,5
Compute the area of a trapezoid with bases 2 and 5 and height 12,4
Compute the area of a trapezoid with bases 8 and 9 and height 15,4
Compute 4^(1/4).,1
Compute d/dx (20x^20 + 17x),2
How many surjections from an 5-element set to a 17-element set?,5
How many surjections from an 11-element set to a 2-element set?,5
Simplify the expression (18x^2 - 10x + 15),0
"Compute the inverse of [[20, 15, 12],[7, 17, 19],[9, 19, 1]] if it exists",6
Evaluate the product 11 × 18 ÷ 3,1
"What is the expected value of a uniform distribution on [7, 1]?",3
Evaluate the product 17 × 5 ÷ 20,1
"Find eigenvalues of the 2x2 matrix [[15, 16], [12, 1]]",6
